id_tweet,text_tweet,main_category
1037293366776672257,"ahahaha i think the mobi linux contain ha a weird dn struggl to get to alpin apk ind isol to the vm on hyper v so weird becaus it is just one machin it is happen on as much as i would like to walk thi down i might just reinstal docker on hi box",49
1037293528769093632,"texa do not play around the heat will get you sooner or later",49
1037294074687119361,"wonder if you do realiz that there are mission critic servic that are out becaus of thi did you ever conduct audit and took precaut distribut them guess not",015
1037294134833410049,"let us move beyond apolog and tri to make thi work ha been work for week i am just at a loss to understand thi with support move in second and minut but you are absolut motionless ツ",25
1037295311222394880,"i would have to walk that down can it not resolv intern or extern address",313
1037295694346964992,"it is weird seem to semi work i know it is the wrong name server just not total sure how it is got it just run the mobylinux ps1 again might have to walk it down becaus i bet it come back the same sure it is someth to do with the virtual switch",313
1037296546935726080,"vsts releas on host agent are veri sluggish they seem to hang on servic bu deploy from time to time",214
1037297417358585857,"what in etc resolv conf",317
1037298420279640065,"hi daniel can assist you further thank",25
1037298501523320832,"that is where the delta is nameserv is total differ from the host which is what i think the issu is what i can not figur out is where it is get the ip for the nameserv from",313
1037298616065576960,"is vs code extens back i need to set up a new instal",313
1037298923893866496,"love the proactiv support but thi is a total differ issu",01
1037299574203920384,"track id ddp8 1sg the issu ha not been solv yet we are still receiv intern error occur in process network profil of the vm fail to resiz virtual machin west europ",25
1037302805902417923,"what happend to sla",313
1037304120497991680,"can we know eta still some vm s are in fault state ms support team respons is standard one what they publish in azur statu now what happen to sla",313
1037304722061967360,"can ani one tell me how to recov file back up to azur recoveri vault situat backup wa creat from on prem server use azur backup server tri to recov it to a differ environ use azur recoveri agent aztechhelp",313
1037306058719485952,"issu are still not fix what is the eta now",211
1037307007815049216,"i back up file use azur backup server i m tri to recov file on to my laptop problem is i can not identifi what to select in the dropdown pleas see screenshot",13
1037307438117122048,"is it possibl to control access to azur sql server and azur storag tabl and blob store with azur applic gateway if not is there ani way to let onli servic of a specif subscript in azur gain access to these resourc thank in advanc",26
1037307875260096512,"azcommun my microsoft account wa perman suspend becaus i chang my password can you help me get into my azur resourc i need to pay my host bill",313
1037309091281027072,"azhelp hey i activ a free account and made my applic now my credit are zero and i can not recov all the progress i ve made is there a way to download my data",313
1037310207708356609,"thank for the fast repli i alreadi check the doc but there is noth releat to azur applic gateway so i assum it is not possibl with azur sql server but sinc allow traffic within azur is allow that is ok is there anyth similar for azur storag",26
1037310917397106689,"would you pleas address in a statu updat how or whi servic on other data center were so heavili affect what made the portal total unabl to see certain resourc",211
1037312098295009280,"so if i renew the subscript download the featur and interrupt it again will not it be charg to my credit card",313
1037312576223420416,"if you guy could pleas track how mani custom you have lost as a result of thi it would greatli be appreci i need to find humor in thi somehow",015
1037313381374599170,"thank you",01
1037313479462604800,"while thi is definit one of the worst outag a quick search show all of them have had outag affect avail here s hope they get it sort out today and can come up with a plan to keep thi from happen in the futur",25
1037313862003871744,"you can do it guy the forc you will use",24
1037314232499490817,"thank for the help",01
1037315210489548800,"uhm i wa eect an answer like look at thi guid on how eloit azur contain registri at the best have x time faster perform than public dockerhub",37
1037315832223817728,"aztechhelp i can not send new imag to the custom vision ai servic it lock on upload is there still a problem on thi servic",25
1037316026579468288,"could you pleas help me understand where i could report an issu about app servic authent featur i set up googl auth and want to receiv refresh token by request auth login googl access typefflin but there is no refresh token in store",313
1037316912299089920,"ani comment eta on the return of applic insight i m glad the statu page final figur out it wa down",211
1037317077307146241,"aztechhelp even after repeatedli link my subscript to my azur activ directori b2c the subscript doe not show up in my b2c directori i even tri creat a new b2c directori and link thing there but still no luck",25
1037317901907161094,"vm still can not be start we are sorri your virtual machin is unavail becaus becaus of connect loss to the remot disk",25
1037319829332606976,"ongo incid seem unrel as my function app is deploy to west europ also access token is there in token store so i guess all underli servic and storag work it seem that my issu is a normal oper",24
1037320048317214720,"i just promis one of our smaller custom that they will get free gr go forward assum microsoft will help us on thi for a small number of product system per each custom",012
1037321959988764672,"look forward to the discuss on next podcast move it to the cloud they said more resili they said thank for the imag",015
1037322283105304576,"ani idea when will be back onlin",211
1037322287454867457,"oh you bet our plan for the next episod record tomorrow out next tuesday chang quit a bit yesterday dumpsterfir",49
1037322969675177984,"current statu of portal",24
1037324348208627712,what,49
1037325569107537920,"azhelp just curiou how the outag in south central could impact a hybrid connector in us west",24
1037327199429382144,"still unabl to effect use custom vision servic today unabl to upload imag time out",25
1037328924513054720,"holi crap still jesu man hope you guy can fix it all quickli i imagin the stress and man poor peopl come on keep it up and keep go",015
1037330018542800899,"our page is back up thank",01
1037330277960441858,"sorri to add to the pile but the network in us north central is mess up servic bu relay down classic cloud servic not access from the internet etc seem to be an issu with the connect to the outsid world we are down",25
1037331471810355200,"who and how will they compens your client for be offlin for so long the promis of onlin wa not fulfil",24
1037331730833670144,"not a fan of uaa unavail as a servic",015
1037332093385236482,"get your crap togeth i m still have issu log into visual studio through the ide which allow for a connect to ms vsts how doe the cloud god reliabl guru not have redund and backup whatev the issu is let us hope a lesson is learn here",015
1037333643948113921,"fix azur",49
1037334801978728451,"receiv thousand of timeout sinc 08 2018",24
1037334982233128960,"thi ha been frustrat to no end but as frustrat as it is we final have some db servic come onlin and full applic access just a note for ani compani hope for good news we are test for consist now hour is just too long",015
1037337986931806209,"our applic server are work again but we can not start our databas server is the mainten still occur",25
1037339016629288961,"mcp transcript page is still unavail is thi relat with yesterday s outag",25
1037339678213660674,"no worri i see you guy have been busi with central us someon ha manag to resolv the issu for me now the updat is now on the forum post thank for your help",01
1037339877237551105,"we are down to just one vm that will not boot we also have a vm that will not let us connect via rdp but otherwis it is do it is job as a dc and authent user",25
1037339950625251330,"it is up it is down it is up it is down tri to be patient",24
1037340931148656640,"i hope you all had a tall frosti one onc thi wa fix yesterday could not have been a good day",01
1037341747905548290,"servic up and down realli damag",24
1037341925056172033,"it still not work i delet the project creat a new one but still lock on upload",25
1037342749647937536,"you will pay them for lesson in case they good or not it is weird",015
1037344699017818113,"had a similar issu with a vm an had to stop it dealloc and then start it in order to get it come back onlin it wa stuck in a start state",25
1037345490621194245,"if i wa as inept at my job as these idiot then i would be out of a job",015
1037345824798171136,"thank for the updat in the event servic have breach sla will custom be automat reimburs or do we need to initi the process ie log a ticket",015
1037346177677709313,"scale our azur databas in west europ from s4 to s6 is alreadi run for minut and it is onli on thi should not be take that long azur",24
1037346311870328832,"we upgrad firewal to accept onli tl amp and it somehow broke our connect to appinsight thought idea",25
1037351999921172480,"our instanc wa back up all thi morn until about minut ago at which point it went down again",25
1037352095190589440,"not sure what recoveri you are see but my servic in north central us are affect weird error on my ase the gateway did not receiv a respons from microsoft web within the specifi time period or there wa an uneect internalservererror",25
1037353282019254273,"could the outag in texa be affect appinsight",25
1037353553147383808,"exactli the same thing here but what realli get me mad is that there is no transpar inform about thi issu whi is my databas server vm the onli that still doe not work what about my data",211
1037354098192998400,"anyon liveblog on thi gt 24h to get the loss of one dc mitig sound like fun",211
1037354287498711040,"azhelp have issu with a server box accept it latest cumul updat have sever other on azur platform that have went a ok tri just about all of the standard step with rebuild updat compon etc ani idea",25
1037354676482654208,"i did a arepair on the vs machin that wa have the problem i believ that my project complain about not find a dotnet core version and it prompt me to instal it which i did without quit vs it usual say if it requir that it wa a problem after that",317
