id_user,id_str_user,name_user,screen_name_user,description_user,url_user,followers_count_user_user,favourites_count_user,lang_user,id_status,id_str_status,textstatus,created_at_status,truncated,in_reply_to_screen_name,retweet_count,favorite_count,retweeted,lang_status
814378362,814378362,Elizabeth Block,sqlservermama,"I'm a production SQL Server DBA for PeaceHealth. MSQL 2008 DBA certification. When not deep into SQL Server work I enjoy reading, gourmet cooking, & Zumba.",https://t.co/HpOsKWeSzL,295,2819,en,1032399309377916928,1032399309377916928,"@AzureSupport Wonderful, thanks! That's exactly what I was looking for.",2018-08-22 22:49:11,False,AzureSupport,0,0,False,en
814378362,814378362,Elizabeth Block,sqlservermama,"I'm a production SQL Server DBA for PeaceHealth. MSQL 2008 DBA certification. When not deep into SQL Server work I enjoy reading, gourmet cooking, & Zumba.",https://t.co/HpOsKWeSzL,295,2819,en,1032398165297659904,1032398165297659904,@AzureSupport Thanks!,2018-08-22 22:44:38,False,AzureSupport,0,0,False,en
241400860,241400860,Complex,OnEiSiNcOmPlEtE,#tech projects,,439,96248,es,1032396120582971393,1032396120582971393,"RT @AzureSupport: We are live! Have a question about #Azure App Service? Join us with @odeded, @ranjithmsft, @ccompy, @apwestgarth and @jen…",2018-08-22 22:36:30,False,,8,0,False,en
611773942,611773942,Patrick Goode,PatrickGoode,I'm a creator.  I build applications out of thin air.  Self executing functioner @Xamarin @Azure https://t.co/WvqNFo7jC7,http://t.co/TePT9jPJBW,570,351,en,1032392120693338113,1032392120693338113,"@JenLeeWA @AzureSupport Yes exactly.   Scale up dynamically based on demand, then back down again dynamically.  May… https://t.co/CoAa9ydzun",2018-08-22 22:20:37,True,JenLeeWA,0,0,False,en
263585004,263585004,Alex Kaziuka,CodeCampUA,"Solutions Architect and Security compliance expert, Microsoft and SAP Certified Consultant.",https://t.co/DtGBHLeNBC,5,43,en,1032389961432018946,1032389961432018946,"@AzureSupport https://t.co/YgyY0fqysX (default one is working fine)
https://t.co/rF3U0pLb2u (a purchased one doesn'… https://t.co/5kk9tZfBiw",2018-08-22 22:12:02,True,AzureSupport,0,0,False,en
836454963282915328,836454963282915328,Ticklish Turtle,TurtleTicklish,,,1,0,en,1032388004050952195,1032388004050952195,"@azuresupport #azhelp:- How can I access Azure File Server services when my ISP, in addition to several major ISPs, are blocking port 445?",2018-08-22 22:04:15,False,AzureSupport,0,0,False,en
15047299,15047299,Paulo Cavalcanti,paulocavalcanti,Tecnologias da informação,http://t.co/KQbhWrm9Hk,52,149,pt,1032381228610011136,1032381228610011136,"@azuresupport #azTechHelp Hello, can I use the port 25 in my Ubuntu VM?",2018-08-22 21:37:20,False,AzureSupport,0,0,False,en
6815762,6815762,Christopher S. Meiklejohn,cmeik,"I live for distributed programming.  Formerly @berkleeonline, @basho, @mesosphere; 2x intern at @MSFTResearch, and currently @isrcmu Ph.D. student.",https://t.co/OteoESj7H9,5770,74800,en,1032380160274653184,1032380160274653184,"@AzureSupport Just did, thank you!",2018-08-22 21:33:05,False,AzureSupport,0,0,False,en
6815762,6815762,Christopher S. Meiklejohn,cmeik,"I live for distributed programming.  Formerly @berkleeonline, @basho, @mesosphere; 2x intern at @MSFTResearch, and currently @isrcmu Ph.D. student.",https://t.co/OteoESj7H9,5770,74800,en,1032379762658824193,1032379762658824193,"@AzureSupport Actually, I can create a support ticket, so I will do that.",2018-08-22 21:31:30,False,AzureSupport,0,0,False,en
6815762,6815762,Christopher S. Meiklejohn,cmeik,"I live for distributed programming.  Formerly @berkleeonline, @basho, @mesosphere; 2x intern at @MSFTResearch, and currently @isrcmu Ph.D. student.",https://t.co/OteoESj7H9,5770,74800,en,1032378091673276416,1032378091673276416,"@AzureSupport I can't seem to create an account!  Keep getting ""AADSTS50058: A silent sign-in request was sent but… https://t.co/1iAq1gootX",2018-08-22 21:24:52,True,AzureSupport,0,0,False,en
36622512,36622512,Henko Kors,henkowz,Proud dad of Mila (2014) & Pien (2017) | Helping organizations turning data into actions @MacawNL | Azure | Data | Analytics | AI | #HotS | My tweets / opinions,https://t.co/phFmzwUsI0,354,736,en,1032372303487586304,1032372303487586304,@AzureSupport @AzureSQLDW The link is https://t.co/soTGOknBwJ,2018-08-22 21:01:52,False,AzureSupport,0,0,False,en
1032341567195860992,1032341567195860992,Thiru,Thiru78969640,,,0,0,en,1032372076416401409,1032372076416401409,"@AzureSupport Mine is free subscription and I am trying out the feature before we decide, Here is the subscription… https://t.co/VrvxN46dV5",2018-08-22 21:00:58,True,AzureSupport,0,0,False,en
603868091,603868091,Jonathan Briceño,jbricem,"Estudiando Ing. Computación TSU  en informática, Fanático de los Deportes , Madridista de corazón.",,205,6,es,1032365045777235968,1032365045777235968,@azuresupport #azTechHelp  Cisco Call Manager - can it run in an Azure cloud??,2018-08-22 20:33:01,False,AzureSupport,0,0,False,en
82576352,82576352,Lewis Denham-Parry,denhamparry,Co-Founder @cloudnativewal,https://t.co/0uOpTGyXWv,441,1625,en,1032360705054441473,1032360705054441473,Thanks to everyone who joined @SoulmanIqbal and I at the @Yolk_Recruit #kubernetes workshop.  Had a great time and… https://t.co/1y7S6a1EuP,2018-08-22 20:15:47,True,,0,2,False,en
898239034622746624,898239034622746624,Jennifer Lee,JenLeeWA,"PM on Azure App Service @Microsoft. Working on App Service Diagnostics/Genie, Linux, OSS. Always with my head in the cloud(s) (computing). Opinions are my own.",,373,330,en,1032349454735618048,1032349454735618048,"@PatrickGoode @AzureSupport We're still talking about scaling *up*, correct? S3 is the highest for the Standard tie… https://t.co/whZNdoFMdc",2018-08-22 19:31:04,True,PatrickGoode,0,0,False,en
557284605,557284605,Shahid,ShahidDev,"Freelance dev/consultant & Microsoft MVP specialising in Azure, Kubernetes. Frequent community and conference speaker. #Kubernetes #docker #k8s #Azure #aks",https://t.co/RcD5YmCise,469,6332,en,1032347234522865674,1032347234522865674,@AzureSupport Thanks - post is here https://t.co/8zyS1N15EY,2018-08-22 19:22:15,False,AzureSupport,0,0,False,en
298815417,298815417,Daniel Tibor Fuchs,fuchsdanielt,,https://t.co/kgupanyXHj,104,22,en,1032342585426280450,1032342585426280450,@AzureSupport I sent details on private message.,2018-08-22 19:03:47,False,fuchsdanielt,0,0,False,en
1032341567195860992,1032341567195860992,Thiru,Thiru78969640,,,0,0,en,1032342474428112896,1032342474428112896,@azuresupport #azcommunity I created a support thread but my problem is not getting addressed. Here is the MSDN for… https://t.co/ONtX14YubI,2018-08-22 19:03:20,True,AzureSupport,0,0,False,en
557284605,557284605,Shahid,ShahidDev,"Freelance dev/consultant & Microsoft MVP specialising in Azure, Kubernetes. Frequent community and conference speaker. #Kubernetes #docker #k8s #Azure #aks",https://t.co/RcD5YmCise,469,6332,en,1032342466500980741,1032342466500980741,@AzureSupport It's not a bug/issue as far I can see it's a restriction on the lower app service tiers so not sure i… https://t.co/aQLd19ARzU,2018-08-22 19:03:18,True,AzureSupport,0,0,False,en
298815417,298815417,Daniel Tibor Fuchs,fuchsdanielt,,https://t.co/kgupanyXHj,104,22,en,1032342417096224770,1032342417096224770,"@AzureSupport Yes, but it shouldn't have this distinction.",2018-08-22 19:03:06,False,AzureSupport,0,0,False,en
3094232313,3094232313,Franco Leuzzi,francoleuzzi,"Microsoft MVP - Windows and Devices for IT - Decimo anno
https://t.co/WHIz957MaJ",http://t.co/On2Opcq7up,493,106,it,1032342301278986240,1032342301278986240,"RT @AzureSupport: And that's a wrap!
Thanks to everyone who participated. Want to know more about App Service?
Follow @odeded, @ranjithmsft…",2018-08-22 19:02:39,False,,3,0,False,en
298815417,298815417,Daniel Tibor Fuchs,fuchsdanielt,,https://t.co/kgupanyXHj,104,22,en,1032341710850994176,1032341710850994176,"@AzureSupport sure, what do you need?",2018-08-22 19:00:18,False,AzureSupport,0,0,False,en
298815417,298815417,Daniel Tibor Fuchs,fuchsdanielt,,https://t.co/kgupanyXHj,104,22,en,1032339965986971649,1032339965986971649,"@azuresupport #azTechHelp, I'm having problem to open tickets since the support plan show in one subscription and t… https://t.co/jsb5qYH78H",2018-08-22 18:53:22,True,AzureSupport,0,0,False,en
781677038105141250,781677038105141250,Filipe Arenda,FiLCS013,,,8,8,pt,1032339512041660416,1032339512041660416,@azuresupport #azTechHelp,2018-08-22 18:51:34,False,AzureSupport,0,0,False,und
3416919803,3416919803,Shannon Lowder,shannonlowder,,https://t.co/gdFCDqUdHq,143,473,en,1032337422598762496,1032337422598762496,"@AzureSupport @azuredatalake Thanks, issue 118082218843958 created.",2018-08-22 18:43:16,False,AzureSupport,0,0,False,en
611773942,611773942,Patrick Goode,PatrickGoode,I'm a creator.  I build applications out of thin air.  Self executing functioner @Xamarin @Azure https://t.co/WvqNFo7jC7,http://t.co/TePT9jPJBW,570,351,en,1032337038803173377,1032337038803173377,"@JenLeeWA @AzureSupport One in particular we run an s3.  We don't manually scale or anything,  even auto scale.  Ju… https://t.co/Cva6D8k2pO",2018-08-22 18:41:44,True,JenLeeWA,0,0,False,en
